customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
59c5485e-a50a-436f-8c20-c802bf13d4cb,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Credit card,94.36,1522.96,No
7055eaf2-57c9-42ab-a71a-73ce3e0d6c4b,Male,0,No,No,65,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,96.22,6237.08,No
23993005-f804-4f3d-ae92-6e278117f601,Male,1,Yes,No,10,No,No phone service,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,79.7,797.02,No
a3aa32a7-600e-4427-bcf1-730cafb7ccb3,Female,0,No,No,2,No,Yes,No,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,93.44,184.4,No
dcff6fb9-3f5c-4276-ac1d-d54608d40cd0,Male,1,Yes,Yes,59,No,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,92.14,5444.78,No
18e31231-d436-41ab-981a-f76470da0e35,Female,1,Yes,No,47,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,One year,Yes,Mailed check,51.71,2417.59,No
f92820b6-014a-40cd-a876-eb541dd727c1,Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card,63.89,1027.81,Yes
fca7354d-d8c4-4509-9c45-a4a284883902,Female,1,No,Yes,26,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,44.22,1131.51,No
5e24c585-b914-4ea6-9ab4-980f125519f9,Female,1,Yes,Yes,24,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,104.73,2516.29,Yes
bd113aa5-026d-4b75-9b0d-0e921d158d17,Female,1,Yes,No,36,No,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,67.74,2438.39,No
98933343-bd01-4aee-8737-db1857ee3077,Male,0,No,Yes,70,Yes,Yes,No,No,Yes,Yes,No,No internet service,No,One year,Yes,Bank transfer,70.69,4947.77,No
4e114546-fe0b-4504-b3d3-12b4c136a64a,Female,1,No,Yes,6,No,Yes,No,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,92.09,551.45,No
ffbec551-f61f-4871-82dd-94ab678e0126,Female,1,Yes,Yes,17,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Two year,No,Credit card,112.71,1899.13,No
8ed3607b-74c5-4765-b2f3-67139ccba066,Female,0,Yes,No,1,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer,65.81,50.48,No
acbf8fb1-02bf-4d98-b24f-b2d8289e9e1c,Male,0,No,No,24,No,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,96.18,2303.72,No
67ecb70c-27e7-4a6e-bc0f-018604f3410f,Male,1,Yes,Yes,61,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card,96.29,5882.46,No
52685ee9-c117-44f0-b284-48c69564a327,Male,0,Yes,No,45,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,78.73,3541.91,Yes
b2949826-2fa7-4adb-bd01-6c7ba0747382,Female,1,Yes,Yes,59,No,Yes,DSL,No,Yes,No,No internet service,Yes,No,One year,No,Credit card,84.92,5019.8,No
09609b98-6e04-4402-bf23-528226537cdf,Female,1,No,Yes,9,No,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,86.96,795.24,Yes
d19b3406-4a4e-480e-b59a-cba908b8812f,Female,0,Yes,Yes,67,Yes,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Credit card,78.64,5275.43,Yes
7aeb85b8-5f44-4769-a853-f11582abfde6,Female,0,No,Yes,17,No,No phone service,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer,119.23,2031.86,No
0e6cc159-ca52-4357-8cb3-f84d9f852353,Female,1,No,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,119.88,5375.78,No
d8f7c0c5-dabb-4818-8a93-5b7fff3f8772,Male,1,Yes,No,69,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,39.53,2742.68,No
b9150338-c8cd-435f-b6ab-82b5677771a7,Male,0,No,No,41,No,No phone service,No,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,44.03,1801.76,No
bceff1de-4498-4961-aa40-9320152ef53d,Male,1,Yes,Yes,5,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,111.46,545.6,No
fa44d7eb-b3e4-4cb8-87ff-19949ea11036,Female,1,Yes,No,65,No,No phone service,No,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Bank transfer,101.36,6579.17,Yes
5d1dfff7-23b3-4a9c-bfb4-c197a3c57302,Female,1,Yes,No,49,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,No,Bank transfer,94.92,4646.65,Yes
aac60fb1-1f7c-4e1f-9fb1-97fd56c6ca99,Male,0,No,No,18,Yes,No,No,No internet service,No,No internet service,Yes,No,No,Two year,No,Mailed check,58.84,1044.58,Yes
d5335198-346d-45d6-a7cf-d2c1424d3795,Female,1,Yes,Yes,62,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,54.77,3401.8,No
627dc259-c913-4a22-8b5e-5db68925d0a3,Female,0,No,Yes,68,No,No,No,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,111.26,7574.73,No
59bb3e09-a4f4-4992-ad87-0ad803f1e87d,Male,0,Yes,No,54,No,No phone service,DSL,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,92.5,4995.36,Yes
a600ebc9-dbfc-4ca9-af89-fac761dadc6f,Female,1,Yes,No,10,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,One year,No,Credit card,47.37,485.64,No
f1d00adc-a830-497c-a1cf-2c2152417278,Female,0,No,Yes,1,Yes,No phone service,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,113.23,106.5,Yes
95929df6-37b7-4ac6-8867-e2e8c3b77560,Male,0,No,Yes,6,No,Yes,No,Yes,No internet service,No,No,No internet service,No,Two year,Yes,Credit card,89.27,524.15,No
b8fb2ba6-3417-4f26-93e6-9904d8fc8c23,Male,0,Yes,No,14,Yes,No,No,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Mailed check,111.41,1545.96,Yes
229a6926-9dcc-4484-b1d2-a9901706d67b,Female,1,Yes,Yes,46,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,One year,Yes,Bank transfer,64.17,2954.02,Yes
469b45cf-44a2-4cc6-afdc-9be01fa6828c,Male,0,Yes,Yes,61,No,Yes,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.43,2636.06,Yes
af091ab3-6be0-48d3-90d3-969d4f04a5da,Female,1,No,Yes,7,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,One year,No,Bank transfer,85.0,603.07,No
ece85e56-1d17-4589-9244-6112c5a1a319,Male,0,No,Yes,22,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,48.19,1073.41,No
8eb868fd-6be2-48a2-9e34-b948d22d35a8,Female,0,No,Yes,58,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,59.89,3483.36,No
36dc43ef-cc9c-4f4c-a230-f77f0e770eb6,Female,0,Yes,No,52,No,No,No,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,39.37,2066.28,Yes
4854e094-f3e7-4d55-b188-56f8f8fa45b0,Male,1,Yes,No,32,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,50.66,1640.83,Yes
6042c0f5-56a3-4487-b813-6c3f7c42e80e,Male,1,No,Yes,65,Yes,Yes,No,No internet service,No,No,No,Yes,Yes,Two year,No,Credit card,74.46,4844.24,Yes
a6d1465a-0cfe-4c55-b675-fc0fddd9b8b0,Female,0,No,No,55,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No,One year,Yes,Bank transfer,78.07,4304.78,Yes
b256b8c0-3113-4bc5-ab5c-73d1f899c514,Female,0,No,Yes,9,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card,96.53,869.84,No
